Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.6174790,0.171328,0.935838,0.309098,1.000344,72.001488,79.625481
0.6277930,0.176575,0.939376,0.314468,1.006229,71.788773,79.354286
0.6373429,0.176331,0.938766,0.322888,1.008281,71.322815,79.361908
0.6468760,0.170230,0.932543,0.323498,1.001631,71.157303,79.654915
0.6571500,0.161688,0.927296,0.321912,0.994810,71.119774,80.109055
0.6679410,0.155831,0.926319,0.320569,0.992530,71.156647,80.450798
0.6778560,0.155464,0.930834,0.321912,0.997120,71.165161,80.518188
0.6878300,0.161078,0.939742,0.325694,1.007541,71.140007,80.273659
0.6982640,0.174257,0.941695,0.333016,1.013930,70.825829,79.516235
0.7070100,0.174257,0.941695,0.333016,1.013930,70.825829,79.516235
0.7173220,0.176453,0.928760,0.340216,1.004728,70.207489,79.242691
0.7274330,0.177064,0.928760,0.337897,1.004052,70.334183,79.206360
0.7380880,0.178284,0.934617,0.330698,1.007301,70.834335,79.200233
0.7471930,0.179382,0.940597,0.320447,1.009746,71.496994,79.202721
0.7571950,0.178040,0.942061,0.313003,1.008538,71.919449,79.297913
0.7670259,0.173403,0.938644,0.309953,1.003590,72.010414,79.533333
0.7785380,0.169620,0.933641,0.308122,0.997695,72.011017,79.703064
0.7873729,0.166935,0.932299,0.304950,0.995009,72.152817,79.848335
0.7978759,0.168155,0.937912,0.304705,1.000400,72.266884,79.835602
0.8072410,0.172793,0.947552,0.308488,1.011374,72.240692,79.665291
0.8171780,0.175233,0.960365,0.305926,1.023034,72.600189,79.659279
0.8270020,0.175843,0.969761,0.302143,1.030848,72.956291,79.722435
0.8376120,0.177064,0.973666,0.297018,1.033246,73.294006,79.693260
0.8472980,0.175843,0.972934,0.297750,1.032558,73.240128,79.755241
0.8575200,0.175477,0.966345,0.304217,1.028184,72.789787,79.707886
0.8677630,0.172548,0.959023,0.313980,1.023758,72.139946,79.800407
0.8773410,0.171328,0.954142,0.323498,1.021954,71.545692,79.820305
0.8869950,0.177674,0.955362,0.328989,1.025923,71.296173,79.464767
0.8975120,0.184873,0.956704,0.330454,1.028913,71.266441,79.062981
0.9071950,0.190487,0.955362,0.330942,1.028846,71.236481,78.723846
0.9171850,0.194026,0.951335,0.333870,1.026720,71.023430,78.472580
0.9270430,0.194514,0.945234,0.339118,1.022889,70.638390,78.371796
0.9374279,0.193903,0.938156,0.341558,1.017053,70.376915,78.322212
0.9481770,0.190975,0.934739,0.332284,1.010258,70.797371,78.452927
0.9575509,0.187192,0.936570,0.321667,1.007806,71.386909,78.697243
0.9676780,0.189022,0.944013,0.314956,1.012960,71.884941,78.677246
0.9771680,0.190975,0.947552,0.314346,1.016435,71.985176,78.604958
0.9873300,0.189144,0.944868,0.314834,1.013741,71.906631,78.680107
0.9976450,0.185239,0.938766,0.311783,1.006382,71.952461,78.837669
1.0071330,0.180968,0.932665,0.308732,0.998964,71.997849,79.019135
1.0175680,0.179016,0.931689,0.307390,0.997286,72.047607,79.123657
1.0274800,0.177064,0.935838,0.306780,1.000628,72.146317,79.286102
1.0381401,0.173647,0.940963,0.301289,1.003164,72.522079,79.544182
1.0470090,0.173525,0.945600,0.297018,1.006225,72.831665,79.601486
1.0574640,0.174867,0.944746,0.296408,1.005475,72.854843,79.513557
1.0678090,0.174501,0.939498,0.299458,1.001390,72.599899,79.477882
1.0776440,0.172670,0.931689,0.298970,0.993600,72.488586,79.500465
1.0869910,0.168888,0.925709,0.299092,0.987379,72.367210,79.660599
1.0975670,0.163396,0.925099,0.297384,0.985365,72.434212,79.983398
1.1071920,0.156685,0.933031,0.292991,0.990424,72.793076,80.467209
1.1170670,0.154976,0.948651,0.285547,1.002743,73.455139,80.721832
1.1276369,0.156929,0.964148,0.279568,1.016054,74.029030,80.755363
1.1373230,0.157539,0.971958,0.274076,1.022076,74.445396,80.793327
1.1470740,0.153512,0.967687,0.273344,1.017202,74.411797,80.985825
1.1575869,0.145458,0.951335,0.280178,1.002345,73.768311,81.306862
1.1671480,0.137038,0.937912,0.286279,0.990159,73.194450,81.687347
1.1769810,0.135574,0.935960,0.288964,0.988889,73.009651,81.758026
1.1869880,0.143628,0.947796,0.286645,1.000556,73.352310,81.383041
1.1989020,0.171938,0.963416,0.291404,1.021102,73.418304,79.881104
1.2071520,0.171938,0.963416,0.291404,1.021102,73.418304,79.881104
1.2173059,0.182067,0.957925,0.297994,1.019592,73.006226,79.238510
1.2274780,0.178162,0.943281,0.303363,1.006752,72.462593,79.304283
1.2381369,0.167789,0.942305,0.295797,1.001792,72.826385,79.903580
1.2470180,0.160956,0.947430,0.287255,1.003019,73.357994,80.358269
1.2571839,0.161078,0.952433,0.283472,1.006694,73.645020,80.400833
1.2676679,0.166691,0.951823,0.286645,1.007928,73.477577,80.066628
1.2772570,0.174867,0.947674,0.294333,1.007619,73.015839,79.545250
1.2870210,0.180480,0.943769,0.302143,1.007256,72.544418,79.173836
1.2975320,0.185972,0.942793,0.308366,1.009225,72.208878,78.841316
1.3070090,0.187192,0.945722,0.311295,1.013082,72.104904,78.803848
1.3174379,0.184751,0.950115,0.310685,1.016551,72.204147,78.996063
1.3276401,0.181335,0.953044,0.308244,1.017934,72.373322,79.227165
1.3371140,0.178162,0.954020,0.308488,1.018362,72.366562,79.421944
1.3469940,0.177918,0.952555,0.310319,1.017504,72.243019,79.420235
1.3571570,0.178528,0.951701,0.311905,1.017297,72.145432,79.375465
1.3676440,0.177430,0.947796,0.314590,1.014281,71.931099,79.396828
1.3771830,0.177430,0.948162,0.316054,1.015078,71.858826,79.400826
1.3873891,0.177796,0.950115,0.316298,1.017042,71.880600,79.400780
1.3978050,0.178650,0.951945,0.311173,1.017322,72.189209,79.371033
1.4071609,0.176697,0.950969,0.310197,1.015769,72.218895,79.474037
1.4172870,0.172304,0.947186,0.311173,1.011770,72.088173,79.689957
1.4270710,0.167789,0.944013,0.313492,1.008757,71.894356,79.921478
1.4377689,0.166203,0.948529,0.308122,1.011073,72.257011,80.061417
1.4469689,0.168277,0.954020,0.300923,1.014409,72.743607,79.996620
1.4570570,0.169986,0.959389,0.297872,1.018847,73.000603,79.952530
1.4675939,0.170108,0.964514,0.294089,1.022601,73.286324,79.997810
1.4774389,0.169742,0.970250,0.288964,1.026497,73.649971,80.076729
1.4873179,0.169620,0.974277,0.284693,1.029095,73.939995,80.123894
1.4985119,0.169620,0.975253,0.283595,1.029716,74.013527,80.133591
1.5073940,0.164983,0.970128,0.285059,1.024512,73.844894,80.348450
1.5172080,0.160346,0.960487,0.288964,1.015749,73.472031,80.522331
1.5277400,0.157661,0.949871,0.295309,1.007134,72.949326,80.575882
1.5376719,0.154244,0.939620,0.301777,0.998873,72.415176,80.677704
1.5471349,0.152780,0.933153,0.304217,0.993310,72.165634,80.701782
1.5574880,0.150583,0.928150,0.304583,0.988387,72.051491,80.784607
1.5670300,0.153512,0.928638,0.304705,0.989333,72.061806,80.613396
1.5776249,0.159613,0.933763,0.302631,0.994472,72.283157,80.299858
1.5869870,0.168033,0.940841,0.301167,1.002057,72.509453,79.873787
1.5981660,0.175843,0.946088,0.302509,1.008719,72.548759,79.470947
1.6079119,0.178528,0.948773,0.300068,1.010981,72.733948,79.343422
1.6170609,0.174867,0.944135,0.295553,1.004650,72.891312,79.506935
1.6269839,0.166569,0.933885,0.294943,0.993417,72.728645,79.886986
1.6370530,0.158271,0.918265,0.299092,0.978630,72.204338,80.220650
1.6491349,0.150827,0.904476,0.307634,0.967194,71.453835,80.532661
1.6621435,0.152902,0.913750,0.309465,0.976774,71.529091,80.500458
1.6779690,0.164128,0.937790,0.306170,1.000064,72.172623,80.072853
1.6873829,0.175477,0.961830,0.303729,1.023797,72.742325,79.660614
1.6973419,0.184873,0.977327,0.297384,1.038164,73.354355,79.288368
1.7070500,0.186338,0.979890,0.289086,1.038497,73.837090,79.233078
1.7181040,0.179504,0.980256,0.286889,1.037029,73.939903,79.622986
1.7271190,0.179504,0.980256,0.286889,1.037029,73.939903,79.622986
1.7371960,0.176819,0.988188,0.287377,1.044206,74.025383,79.855247
1.7476690,0.184385,1.001611,0.291160,1.059244,74.045395,79.569275
1.7577358,0.190243,1.001123,0.297872,1.061681,73.706001,79.240417
1.7671460,0.190853,0.987456,0.305926,1.051230,73.081146,79.060905
1.7774950,0.188534,0.964270,0.313858,1.031440,72.284500,78.937088
1.7870489,0.182311,0.941695,0.321667,1.011680,71.460777,79.043167
1.7984329,0.177430,0.921926,0.330942,0.995466,70.582504,79.106316
1.8069890,0.174013,0.909601,0.336433,0.985313,70.034904,79.169792
1.8174720,0.172426,0.902524,0.337897,0.979007,69.809479,79.184021
1.8271179,0.171450,0.901059,0.337287,0.977275,69.810249,79.226753
1.8374779,0.174867,0.895446,0.336433,0.972414,69.758553,78.950073
1.8472199,0.173769,0.889955,0.334602,0.966527,69.745506,78.951675
1.8576629,0.168155,0.883243,0.329965,0.957743,69.847267,79.220795
1.8674428,0.162908,0.878972,0.326549,0.951717,69.933212,79.499977
1.8773119,0.161444,0.881657,0.323620,0.952949,70.147606,79.623291
1.8876889,0.161688,0.889345,0.319349,0.958676,70.542084,79.695847
1.8973230,0.166447,0.901425,0.314224,0.969025,71.078766,79.538246
1.9070588,0.170718,0.917533,0.311661,0.983943,71.533691,79.459961
1.9178540,0.176087,0.935838,0.308610,1.001019,72.043419,79.343811
1.9277838,0.181335,0.955240,0.304828,1.018963,72.593163,79.251358
1.9370379,0.184873,0.970128,0.295797,1.030932,73.326218,79.210732
1.9469680,0.182311,0.978059,0.290672,1.036498,73.713722,79.441216
1.9569980,0.174379,0.976351,0.287011,1.032494,73.860405,79.873596
1.9674580,0.162176,0.971836,0.286157,1.025988,73.804916,80.526009
1.9771971,0.151804,0.970616,0.286889,1.023447,73.720901,81.110992
1.9870390,0.148265,0.969761,0.287621,1.022324,73.659752,81.307480
1.9976199,0.145336,0.965368,0.287011,1.017563,73.616951,81.438423
2.0073898,0.142163,0.956094,0.293357,1.010141,73.117393,81.542557
2.0172849,0.140821,0.943769,0.303119,1.001205,72.376900,81.513435
2.0283279,0.138869,0.929736,0.317030,0.992069,71.363403,81.504906
2.0379150,0.138136,0.921926,0.327769,0.988161,70.628258,81.478508
2.0470860,0.142285,0.921072,0.335945,0.990696,70.177956,81.218475
2.0569999,0.152170,0.925465,0.343511,0.998820,69.884331,80.662682
2.0674460,0.160834,0.929492,0.347416,1.005247,69.781433,80.183090
2.0771470,0.155953,0.930102,0.352541,1.006825,69.503448,80.481613
2.0871189,0.142896,0.925953,0.352663,1.001089,69.373222,81.227173
2.0972140,0.125812,0.921438,0.347049,0.992633,69.535614,82.225014
2.1070218,0.120198,0.920340,0.331552,0.985596,70.342476,82.559174
2.1182151,0.119100,0.924001,0.316176,0.983834,71.254120,82.655304
2.1270580,0.119100,0.930224,0.305804,0.986417,71.939880,82.703911
2.1371410,0.117392,0.932787,0.295431,0.985470,72.555183,82.827019
2.1483169,0.119588,0.934007,0.283228,0.983305,73.259521,82.703682
2.1573219,0.117758,0.931933,0.276395,0.979163,73.603867,82.798355
